Referral,Visitors,Total
m.facebook.com,106,124
l.facebook.com,79,93
google.com,53,76
lm.facebook.com,27,32
facebook.com,15,16
pay.payos.vn,12,14
l.messenger.com,5,9
l.instagram.com,5,7
vn.search.yahoo.com,1,1
